Measurements,Y,X,Station number,Station Name
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time', 'BP']",32.848,35.112,78,AFEQ
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",32.166,35.349,90,ITAMAR
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",30.871,34.796,98,SEDE BOQER
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",32.863,35.374,99,DEIR HANNA
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",33.081,35.107,106,ROSH HANIQRA
"['Rain', 'TD', 'RH', 'TDmax', 'TDmin', 'TG']",32.388,34.938,107,EN HAHORESH
"['Rain', 'TD', 'RH', 'TDmax', 'TDmin', 'TG']",31.616,34.783,236,GAT
"['1', '2', '3', '4', '5', '6']",null,null,263,GALED
"['Rain', 'TD', 'RH', 'TDmax', 'TDmin']",null,null,264,MERHAVYA 20170702
"['Rain', 'TD', 'RH']",null,null,275,HAKFAR HAYAROK
"['Rain', 'TD', 'RH', 'TG', 'TDmax', 'TDmin']",31.3,34.87,350,LAHAV
"['Rain', 'TD', 'RH', 'TG', 'TDmax', 'TDmin']",33.0244,35.5735,353,AYYELET HASHAHAR
"['Rain', 'TD', 'RH', 'TG', 'TDmax', 'TDmin']",32.67,35.6,355,MASSADA
"['Rain', 'TD', 'RH', 'TDmax', 'TDmin', 'TG']",32.44,35.51,366,SEDE ELIYYAHU
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",31.066,34.849,112,ZOMET HANEGEV
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",32.816,35.599,115,LEV KINERET
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time', 'Vbatt', 'TG']",31.793,34.804,121,HAFEZ HAYYIM
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",32.916,35.533,123,AMMIAD
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",31.835,34.638,124,ASHDOD PORT
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",32.059,34.759,178,TEL AVIV COAST
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'TG', 'WS1mm', 'Ws10mm', 'Time']",32.709,35.179,186,NEWE YAAR
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",32.883,35.299,205,ESHHAR
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time', 'TG']",30.367,35.148,207,PARAN
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",31.633,34.516,208,ASHQELON PORT
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",31.583,35.383,210,METZOKE DRAGOT
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",31.419,35.386,211,EN GEDI
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",31.773,35.296,218,MAALE ADUMMIM
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",32.481,35.415,224,MAALE GILBOA
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",31.805,35.501,228,BET HAARAVA
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",30.048,35.023,232,NEOT SMADAR
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",32.883,35.579,233,KEFAR NAHUM
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",33.241,35.57,241,KEFAR GILADI
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time', 'TG']",31.834,34.961,259,NAHSHON
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",30.614,34.797,265,MIZPE RAMON 20120927
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",32.956,35.328,269,HARASHIM
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",32.127,35.026,270,SHAARE TIQWA 20161205
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",30.8,34.77,271,AVDAT
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",31.733,34.635,274,NIZZAN
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",30.791,34.472,338,EZUZ
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",32.98,35.09,343,SHAVE ZIYYON
"['Rain', 'WSmax', 'WDmax', 'WS', 'WD', 'STDwd', 'TD', 'RH', 'TDmax', 'TDmin', 'WS1mm', 'Ws10mm', 'Time']",31.205,34.922,349,NEVATIM
